Symbol,Date,Trading-Sign,Last,Change,%Change,Open,High,Low,TR-Volume,TR-Value-(k),Total-Volume,Total-Value-(k),Bid-Size,Bid,Offer,Offer-Size,Sector,Volume,Value,Unnamed:-8,Unnamed:-9,Unnamed:-10,Unnamed:-11,Unnamed:-12,Unnamed:-13,Unnamed:-14,Unnamed:-15,Market,SET,Industry,-Property-&-Construction,Property-Fund-&-REITs,Unnamed:-6,Unnamed:-7,-Services,Transportation-&-Logistics,-Technology,Information-&-Communication-Technology
KKP,2023-02-01,-,68.5,-0.75,-1.0830324909747293,69.5,69.75,68.5,0.0,0.0,6067616.0,418314.24725,574900.0,68.5,68.75,728300.0,,,,,,,,,,,,,,,,,,,,,,
KSL,2023-02-01,-,3.66,-0.02,-0.5434782608695652,3.68,3.7,3.64,0.0,0.0,5036043.0,18497.7322,981700.0,3.64,3.66,291000.0,,,,,,,,,,,,,,,,,,,,,,
KTB,2023-02-01,-,17.7,0.1,0.5681818181818182,17.7,17.8,17.6,0.0,0.0,23732608.0,420084.5648,8884300.0,17.6,17.7,4066200.0,,,,,,,,,,,,,,,,,,,,,,
KTC,2023-02-01,-,58.75,0.25,0.42735042735042733,58.75,59.0,58.25,0.0,0.0,3690549.0,216332.60475,961200.0,58.5,58.75,366600.0,,,,,,,,,,,,,,,,,,,,,,
LALIN,2023-02-01,-,9.4,0.0,0.0,9.45,9.45,9.4,0.0,0.0,166418.0,1567.4451000000001,91400.0,9.4,9.45,123000.0,,,,,,,,,,,,,,,,,,,,,,
LANNA,2023-02-01,-,15.7,-0.1,-0.6329113924050633,15.7,15.8,15.5,0.0,0.0,703274.0,11009.5016,184400.0,15.7,15.8,116100.0,,,,,,,,,,,,,,,,,,,,,,
LH,2023-02-01,-,9.9,-0.1,-1.0,10.0,10.0,9.9,0.0,0.0,30046127.0,298736.17235,5625900.0,9.9,9.95,3167100.0,,,,,,,,,,,,,,,,,,,,,,
LOXLEY,2023-02-01,-,2.2,0.02,0.9174311926605505,2.18,2.2,2.16,0.0,0.0,156514.0,341.31068,16800.0,2.18,2.2,56100.0,,,,,,,,,,,,,,,,,,,,,,
LPH,2023-02-01,-,5.65,0.0,0.0,5.65,5.7,5.65,0.0,0.0,44523.0,252.89610000000002,107800.0,5.65,5.7,74800.0,,,,,,,,,,,,,,,,,,,,,,
LPN,2023-02-01,-,4.64,0.02,0.4329004329004329,4.64,4.66,4.62,0.0,0.0,1464984.0,6794.648679999999,311400.0,4.62,4.64,187400.0,,,,,,,,,,,,,,,,,,,,,,
