id,stock_id,date,year,month,price,qty,amt,net,status,kind
701,113,2019-05-13,2019,5,12.9,3000,38700.0,38785.72,Sold,SS
702,148,2020-04-23,2020,4,27.0,4000,108000.0,108239.21,Sold,DTD
749,21,2020-07-23,2020,7,33.25,3000,99750.0,99970.93,Sold,DTD
704,89,2020-04-28,2020,4,2.7,50000,135000.0,135299.01,Sold,DTD
705,21,2020-04-29,2020,4,27.5,6000,165000.0,165365.46,Sold,DTD
706,102,2020-04-30,2020,4,38.5,5000,192500.0,192926.37,Sold,DTD
707,143,2020-04-30,2020,4,6.4,18000,115200.0,115455.15,Sold,DTD
727,38,2020-06-09,2020,6,41.0,4000,164000.0,164363.24,Sold,DTD
711,143,2020-05-07,2020,5,5.8,6000,34800.0,34877.08,Sold,DTD
712,125,2020-05-07,2020,5,9.4,5000,47000.0,47104.1,Sold,DTD
713,153,2020-05-13,2020,5,9.55,10000,95500.0,95711.53,Sold,SBD
